ID,post_title,post_content,post_status,post_author,post_type,post_date,post_modified,post_tags,post_category,default_category,featured,street,street2,city,region,country,zip,latitude,longitude,phone,payment_types,neighbourhood,ratings,package_id,expire_date,business_hours,email,terms_conditions,does_your_business_have_any_of_the_following,website,how_to_support,cause_description,verified,claimed,facebook,instagram,official_review_url,tiktok,cf1,service_2_description,cf4,cf5,cf2,service_1_description,service_4_description,service_5_description,special_offers,to_verify_your_ownership_please_upload_any_of_the_,would_you_like_to_display_services__products,would_you_like_to_add_cah,post_images
2119,Dads House,"Dads House aims to make sure children remain the priority after divorce, separation or bereavement. We have been running Foodbanks for over 10 years and are very lucky to have a great partnership with Delancey and Earls Court Development, who provided us with premises in Lille Road, Fulham, SW6 1TS. Anyone supporting a family is welcome. We also run a pro bono family law clinics on Wednesdays and Fridays. A fully functioning law practice, Simon Bruce is our legal director and a partner at Dawson Cornwell. He is one of the best family law solicitors in the country.",publish,10,gd_place,2025-07-09 09:21:05,2025-08-25 09:41:07,,",193,139,",193,1,22 Lillie Road,,London,Greater London,United Kingdom,SW6 1TS,51.4868419,-0.1976115,7765183504,"Cash,PayPal,Credit Card,Debit Card",,,13,0000-00-00,,info@dadshouse.org.uk,1,,https://www.dadshouse.org.uk/,https://www.dadshouse.org.uk/donate,"Dads House is a registered Charity and depends entirely on donationsEach week we are helping over 850 people who then feed their families, thanks to your contributions.We currently have one food bank and as well as delivering food to those that are vulnerable or shielding. Dads House in Royal Borough of Kensington and Chelsea (RBKC ) is open 7 days a week.We need funding for food, supplies, equipment and core funding for our paid staff members. (On London living wage)",1,1,https://www.facebook.com/dadshouseuk,https://www.instagram.com/dadshouseuk/,,,Family Law Clinic,"Dads House provides a foodbank for families at Lille Road, Fulham, SW6 1TS. We're open Monday to Friday, 10am to 1pm, thanks to our partners at Delancey and Earls Court Development.",Drug and Alcohol Testing,Breakfast Club,Food Bank,"Dads House holds a weekly Family Law clinic offering practical and free legal advice, which is led by Simon Bruce. “One of the best family lawyers in the country” Chambers NHW 2020",Dads House provides free health and blood testing for all families. The social setting allows fathers to discuss their concerns and get referrals to our Law Clinic if needed.,"The Breakfast Club, running for 7 years, provides a mutual support network for dads, where all dietary needs are met. Dads House also offers a lunch club every Tuesday.",,,1,1,https://lionpuppy.uk/wp-content/uploads/2024/09/Dads-house-food-delivery-image.jpg|139||::https://lionpuppy.uk/wp-content/uploads/2024/09/Dads-house-food-delivery-bank-2.jpg|141||::https://lionpuppy.uk/wp-content/uploads/2024/09/WILLSCOTT-DADSHOUSE-29.jpg|140||::https://lionpuppy.uk/wp-content/uploads/2024/09/dadshouse-stats-area.jpg|142||::https://lionpuppy.uk/wp-content/uploads/2024/09/Dads-house-food-delivery-bank.jpg|143||
3082,Sorana’s Strays,"Sorana’s Strays – Rescuing, Rehabilitating &amp; RehomingAt Sorana’s Strays, we rescue and care for abandoned animals, giving them a second chance at a loving home. Through rehabilitation, vet care, and adoption, we work to ensure every pet finds the family they deserve.Support us by adopting, fostering, or donating—because every stray deserves a home. ❤️🐾",publish,125,gd_place,2025-07-09 01:23:10,2025-08-25 09:41:08,,",229,195,230,",229,1,The Broadway,,London,Greater London,United Kingdom,SW19 1RF,51.42019202,-0.2046203613,,PayPal,,,13,0000-00-00,"[""Mo 00:00-00:00"",""Tu 09:00-17:00"",""We 09:00-17:00"",""Th 09:00-17:00"",""Fr 09:00-17:00""],[""UTC"":""+0"",""Timezone"":""UTC""]",soranas.strays@yahoo.com,1,,https://www.facebook.com/groups/1152921299193045/media,https://www.PayPal.me/fiona1977,"Not ready to adopt? You can still change a life.
At Sorana’s Strays, we rescue, rehabilitate, and rehome abandoned animals—giving them the second chance they truly deserve. Every donation helps cover vital vet care, food, shelter, and transport for these vulnerable pets as they await their forever homes.Your support keeps tails wagging, even if you can’t adopt.",1,1,,,,,,,,,,,,,,,0,0,https://lionpuppy.uk/wp-content/uploads/2025/03/soranas-strays3.jpg|158||::https://lionpuppy.uk/wp-content/uploads/2025/03/soranas-strays2.jpg|159||::https://lionpuppy.uk/wp-content/uploads/2025/03/soranas-strays.jpg|160||::https://lionpuppy.uk/wp-content/uploads/2025/03/soranas-strays4.jpg|161||
3381,The Dog & Fox,"An iconic pub with rooms in the heart of Wimbledon Village, the Dog & Fox offers a cozy and spacious environment for all. It's an ideal spot for a post-walk pint or a relaxing dinner with your dog by your side. With a focus on fresh, seasonal British ingredients, the pub serves everything from hearty breakfasts to mouthwatering Sunday roasts. They also have private event spaces and a selection of stunning boutique bedrooms, with some specifically designated as dog-friendly. Your furry friend wil",publish,1,gd_place,2025-08-25 00:36:24,2025-08-25 09:41:09,,",139,",139,0,24 High Street,,London,Greater London,United Kingdom,SW19 5EA,51.4251359,-0.2177329,020 8946 6565,,,,1,0000-00-00,,dogandfox@youngs.co.uk,1,,https://www.dogandfoxwimbledon.co.uk/,,,0,0,https://www.facebook.com/dogandfoxwimbledon,https://www.google.com/search?q=https://www.instagram.com/dogandfoxwimbledon/,,,,,,,,,,,,,0,0,https://lionpuppy.uk/wp-content/uploads/2025/08/dog-fox.jpg|202||
3404,The Fire Stables,"A warm and inviting pub in Wimbledon Village, The Fire Stables is a perfect spot for any occasion. The pub’s menu champions the best of British ingredients, with expertly crafted dishes from brunch to dinner. They also offer a wide selection of cocktails, wines, and craft beers. As a proudly dog-friendly establishment, they welcome four-legged companions with complimentary treats and fresh water, making it an ideal stop after a walk on Wimbledon Common.",publish,1,gd_place,2025-08-25 00:35:48,2025-08-25 09:41:10,,",139,",139,0,27-29 Church Road,,London,Greater London,United Kingdom,SW19 5DQ,51.4261139,-0.2170882,020 8946 3197,,,,1,0000-00-00,,firestables@youngs.co.uk,1,,https://www.firestables.co.uk/,,,0,0,https://www.facebook.com/firestableswimbledon,https://www.instagram.com/firestableswimbledon/,,,,,,,,,,,,,0,0,https://lionpuppy.uk/wp-content/uploads/2025/08/fire-stables.webp|213||
5229,Rose & Crown,"A charming 17th-century pub with 13 comfortable rooms, the Rose &amp; Crown is a short stroll from Wimbledon Common, making it the perfect post-walk destination for you and your dog. The pub is known for its hearty British pub classics, delicious Sunday roasts, and a welcoming team led by Landlady Nicky and the pub’s resident dog, Freddy. They offer dog-friendly accommodation, providing a special welcome with treats, a dog bed or blanket, and a water bowl for your canine companion.",publish,1,gd_place,2025-08-25 00:52:39,2025-08-25 09:48:13,,",139,",139,0,55 High Street,,London,Greater London,United Kingdom,SW19 5BA,51.4258477,-0.2202231,020 8947 4713,,,,1,0000-00-00,,roseandcrown@youngs.co.uk,1,,https://www.roseandcrownwimbledon.co.uk/,,,0,0,https://www.facebook.com/roseandcrownwimbledon,https://www.instagram.com/roseandcrownwimbledon/,,,,,,,,,,,,,0,0,https://lionpuppy.uk/wp-content/uploads/2025/08/rose-and-crown-front.webp|257||
5234,"The Alexandra, Wimbledon","A bustling community pub run by legendary landlords Mick and Sarah, The Alexandra prides itself on a super-welcoming vibe for everyone, including four-legged friends. They offer a great selection of beers, global wines, and a menu of pub classics made with fresh, locally-sourced British ingredients. The pub welcomes dogs on the ground floor and even provides treats at the bar, making it an ideal stop after a walk.",publish,1,gd_place,2025-08-25 00:35:31,2025-08-25 09:41:12,,",139,",139,0,33 Wimbledon Hill Road,,London,Greater London,United Kingdom,SW19 7NE,51.4220056,-0.2080644,020 8947 7691,,,,1,0000-00-00,,alexandra@youngs.co.uk,1,,https://www.alexandrawimbledon.com/,,,0,0,https://www.facebook.com/alexandrawimbledon,https://www.instagram.com/thealexsw19/,,,,,,,,,,,,,0,0,https://lionpuppy.uk/wp-content/uploads/2025/08/The-Alexandra-72.avif|254||
5779,Pawpairs Pet Au Pairs,Pawpairs offers a boutique dog grooming service with a one-to-one approach  ensuring a personal and stress-free experience for your dog. Their services include puppy introductory grooms  wash and tidies  hand stripping  and nail clipping. They also offer a loyalty discount for regular customers.,publish,1,gd_place,2025-08-25 00:36:08,2025-08-25 09:41:14,,",77,",77,0,524 Garratt Lane,London,London,Greater Greater London,United Kingdom,SW17 0NY,51.4372249,-0.1869692,07415 736652,,,,1,0000-00-00,,info@pawpairs.co.uk,1,,,,,0,0,,,,,,,,,,,,,,,0,0,https://lionpuppy.uk/wp-content/uploads/2025/08/Pawpairs-dog-walker-job-dog-walking-job-1.webp|217||
5820,D-O-G Grooming Studio,"Professional dog grooming services in South West London, offering a range of styling options.",publish,1,gd_place,2025-08-25 00:36:35,2025-08-25 09:41:16,,",77,",77,0,100 Northcote Rd,,London,Greater London,United Kingdom,SW11 6QW,51.457334,-0.1659337,2071237777,,,,1,0000-00-00,"[""Tu 09:00-17:00"",""We 09:00-17:00"",""Th 09:00-17:00"",""Fr 09:00-17:00"",""Sa 09:00-17:00""][""""UTC"""":""""+0""""Timezone"""":""""UTC""""]""",info@doggroomingstudio.co.uk,1,,https://www.doggroomingstudio.co.uk/,,,0,0,,,,,,,,,,,,,,,0,0,https://lionpuppy.uk/wp-content/uploads/2025/07/ce311889600a88ff80f2bbf16eb88b61.jpg|218||
5822,The Old Frizzle,"Lively dog-friendly pub in Wimbledon Broadway, known for its craft beers, food, and live music.",publish,1,gd_place,2025-08-25 00:36:50,2025-08-25 09:41:18,,",139,",139,0,74-78 The Broadway,,London,Greater London,United Kingdom,SW19 1RQ,51.4197442,-0.2021474,2085403333,,,,1,0000-00-00,,info@theoldfrizzle.co.uk,1,,https://www.theoldfrizzle.co.uk/,,,0,0,https://www.facebook.com/TheOldFrizzle/,https://www.instagram.com/theoldfrizzle/,,,,,,,,,,,,,0,0,https://lionpuppy.uk/wp-content/uploads/2025/07/old-frizzle.webp|219||
5824,Pet Pavilion (Chelsea),"Luxury pet boutique offering high-end pet food, accessories, and grooming services.",publish,1,gd_place,2025-08-25 00:37:42,2025-08-25 09:41:19,,",129,",129,0,100 Fulham Rd,,London,Greater London,United Kingdom,SW3 6HS,51.4896916,-0.1754471,2071239999,,,,1,0000-00-00,,kingsroad@petpavilion.co.uk,1,,https://www.petpavilion.co.uk/,,,0,0,https://www.facebook.com/PetPavilion/,https://www.instagram.com/petpavilion/,,,,,,,,,,,,,0,0,https://lionpuppy.uk/wp-content/uploads/2025/07/Photoroom_20241208_124413.webp|220||
